,tissue,nema,rhizo,batch
s1,Root,Nema,Em1021,lane1
s2,Root,Nema,Em1022,lane2
s5,Root,Nema,Em1021,lane3
s6,Root,Nema,Em1022,lane4
s9,Root,Nema,Em1021,lane1
s10,Root,Nema,Em1022,lane2
s13,Gall,Nema,Em1021,lane1
s14,Gall,Nema,Em1022,lane2
s17,Gall,Nema,Em1021,lane3
s18,Gall,Nema,Em1022,lane4
s21,Gall,Nema,Em1021,lane4
s22,Gall,Nema,Em1022,lane3
s25,Nodule,Nema,Em1021,lane1
s26,Nodule,Nema,Em1022,lane2
s29,Nodule,Nema,Em1021,lane3
s30,Nodule,Nema,Em1022,lane2
s33,Nodule,Nema,Em1021,lane4
s34,Nodule,Nema,Em1022,lane1
s37,Nodule,No_Nema,Em1021,lane1
s38,Nodule,No_Nema,Em1022,lane2
s41,Nodule,No_Nema,Em1021,lane3
s42,Nodule,No_Nema,Em1022,lane4
s45,Nodule,No_Nema,Em1021,lane3
s46,Nodule,No_Nema,Em1022,lane4